"id","linnworks_code","product_name","category","supplier","invoice_currency","landed_price_gbp","sp1_value_gbp","sp2_value_gbp","sp3_value_gbp","sale_price_gbp","landed_price_eur","sp1_value_eur","sp2_value_eur","sp3_value_eur","sale_price_euro","import_dates","error"
"6454","HTBPQS-D","Hashtag - Bernie The Panda - Quilt Set - Double (BS1287B)","Bed Linen - Local/Discontinued","ASHLEYW","GBP","0","0","0","0",,"0","0","0","0",,,
"6455","HTBPQS-K","Hashtag - Bernie The Panda - Quilt Set - King (BS1287C)","Bed Linen - Local/Discontinued","ASHLEYW","GBP","0","0","0","0",,"0","0","0","0",,,
"6456","HTBPQS-S","Hashtag - Bernie The Panda - Quilt Set - Single (BS1287A)","Bed Linen - Local/Discontinued","ASHLEYW","GBP","0","0","0","0",,"0","0","0","0",,,
"6457","H-TH28","Sundial - Cast Iron Armoury  (GA1150)","Garden","FALLENFR","GBP","0","0","0","0",,"0","0","0","0",,,
"6458","H-TH61A","Thermometer - Fork (GA1148)","Garden","FALLENFR","GBP","0","0","0","0",,"0","0","0","0",,,
"6459","H-TH61B","Thermometer - Spade (GA1163)","Garden","FALLENFR","GBP","0","0","0","0",,"0","0","0","0",,,
"6460","H-TH63","Thermometer - Key (GA1149)","Garden","FALLENFR","GBP","0","0","0","0",,"0","0","0","0",,,
"6461","HTHDQS-D","Hashtag - Happy Dreamer - Quilt Set - Double (BS1285B)","Bed Linen - Local/Discontinued","ASHLEYW","GBP","0","0","0","0",,"0","0","0","0",,,
"6462","HTHDQS-K","Hashtag - Happy Dreamer - Quilt Set - King (BS1285C)","Bed Linen - Local/Discontinued","ASHLEYW","GBP","0","0","0","0",,"0","0","0","0",,,
"6463","HTHDQS-S","Hashtag - Happy Dreamer - Quilt Set - Single (BS1285A)","Bed Linen - Local/Discontinued","ASHLEYW","GBP","0","0","0","0",,"0","0","0","0",,,
"6464","H-THR07301BL","Bedspread - Quilted Striped (Arctic) - Blue - 190 x 260 cm (Single) (SF1829A)","Bedspreads","RICHING","GBP","0","0","0","0",,"0","0","0","0",,,
"6465","H-THR07301GRE","Bedspread - Quilted Striped (Arctic) - Grey - 190 x 260 cm (Single) (SF1825A)","Bedspreads","RICHING","GBP","0","0","0","0",,"0","0","0","0",,,
"6466","H-THR07301OAT","Bedspread - Quilted Striped (Arctic) - Beige (Oatmeal) - 190 x 260 cm (Single) (SF1827A)","Bedspreads","RICHING","GBP","0","0","0","0",,"0","0","0","0",,,
"6467","H-THR07302BL","Bedspread - Quilted Striped (Arctic) - Blue - 240 x 260 cm (Double) (SF1829B)","Bedspreads","RICHING","GBP","0","0","0","0",,"0","0","0","0",,,
"6468","H-THR07302GRE","Bedspread - Quilted Striped (Arctic) - Grey - 240 x 260 cm (Double) (SF1825B)","Bedspreads","RICHING","GBP","0","0","0","0",,"0","0","0","0",,,
"6469","H-THR07302OAT","Bedspread - Quilted Striped (Arctic) - Beige (Oatmeal) - 240 x 260 cm (Double) (SF1827B)","Bedspreads","RICHING","GBP","0","0","0","0",,"0","0","0","0",,,
"6470","H-THR07303BL","Bedspread - Quilted Striped (Arctic) - Blue - 260 x 260 cm (King) (SF1829C)","Bedspreads","RICHING","GBP","0","0","0","0",,"0","0","0","0",,,
"6471","H-THR07303GRE","Bedspread - Quilted Striped (Arctic) - Grey - 260 x 260 cm (King) (SF1825C)","Bedspreads","RICHING","GBP","0","0","0","0",,"0","0","0","0",,,
"6472","H-THR07303OAT","Bedspread - Quilted Striped (Arctic) - Beige (Oatmeal) - 260 x 260 cm (King) (SF1827C)","Bedspreads","RICHING","GBP","0","0","0","0",,"0","0","0","0",,,
"6473","H-THR07304BL","Pillow Sham - Quilted Striped (Arctic) - Blue - 50 x 75 cm (SF1830)","Bed Linen - Local","RICHING","GBP","0","0","0","0",,"0","0","0","0",,,
"6474","H-THR07304GRE","Pillow Sham - Quilted Striped (Arctic) - Grey - 50 x 75 cm (SF1826)","Bed Linen - Local","RICHING","GBP","0","0","0","0",,"0","0","0","0",,,
"6475","H-THR07304OAT","Pillow Sham - Quilted Striped (Arctic) - Beige - 50 x 75 cm (SF1828)","Bed Linen - Local","RICHING","GBP","0","0","0","0",,"0","0","0","0",,,
"6476","H-THR07501CH","Bedspread - Woven Floral (Julia) - Cream (Champagne) - 190 x 260 cm (Single) (SF1823A)","Bedspreads","RICHING","GBP","0","0","0","0",,"0","0","0","0",,,
"6477","H-THR07501DU","Bedspread - Woven Floral (Julia) - Duck Egg Blue - 190 x 260 cm (Single) (SF1821A)","Bedspreads","RICHING","GBP","0","0","0","0",,"0","0","0","0",,,
"6478","H-THR07501GRY","Bedspread - Woven Floral (Julia) - Grey - 190 x 260 cm (Single) (SF1819A)","Bedspreads","RICHING","GBP","0","0","0","0",,"0","0","0","0",,,
"6479","H-THR07501WH","Bedspread - Woven Floral (Julia) - White - 190 x 260 cm (Single) (SF1817A)","Bedspreads","RICHING","GBP","0","0","0","0",,"0","0","0","0",,,
"6480","H-THR07502CH","Bedspread - Woven Floral (Julia) - Cream (Champagne) - 240 x 260 cm (Double) (SF1823B)","Bedspreads","RICHING","GBP","0","0","0","0",,"0","0","0","0",,,
"6481","H-THR07502DU","Bedspread - Woven Floral (Julia) - Duck Egg Blue - 240 x 260 cm (Double) (SF1821B)","Bedspreads","RICHING","GBP","0","0","0","0",,"0","0","0","0",,,
"6482","H-THR07502GRY","Bedspread - Woven Floral (Julia) - Grey - 240 x 260 cm (Double) (SF1819B)","Bedspreads","RICHING","GBP","0","0","0","0",,"0","0","0","0",,,
"6483","H-THR07502WH","Bedspread - Woven Floral (Julia) - White - 240 x 260 cm (Double) (SF1817B)","Bedspreads","RICHING","GBP","0","0","0","0",,"0","0","0","0",,,
"6484","H-THR07503CH","Bedspread - Woven Floral (Julia) - Cream (Champagne) - 260 x 260 cm (King) (SF1823C)","Bedspreads","RICHING","GBP","0","0","0","0",,"0","0","0","0",,,
"6485","H-THR07503DU","Bedspread - Woven Floral (Julia) - Duck Egg Blue - 260 x 260 cm (King) (SF1821C)","Bedspreads","RICHING","GBP","0","0","0","0",,"0","0","0","0",,,
"6486","H-THR07503GRY","Bedspread - Woven Floral (Julia) - Grey - 260 x 260 cm (King) (SF1819C)","Bedspreads","RICHING","GBP","0","0","0","0",,"0","0","0","0",,,
"6487","H-THR07503WH","Bedspread - Woven Floral (Julia) - White - 260 x 260 cm (King) (SF1817C)","Bedspreads","RICHING","GBP","0","0","0","0",,"0","0","0","0",,,
"6488","H-THR07504CH","Pillow Sham - Woven Floral (Julia) - Cream (Champagne) - 50 x 75 cm (SF1824)","Bed Linen - Local","RICHING","GBP","0","0","0","0",,"0","0","0","0",,,
"6489","H-THR07504DU","Pillow Sham - Woven Floral (Julia) - Duck Egg Blue - 50 x 75 cm (SF1822)","Bed Linen - Local","RICHING","GBP","0","0","0","0",,"0","0","0","0",,,
"6490","H-THR07504GRY","Pillow Sham - Woven Floral (Julia) - Grey - 50 x 75 cm (SF1820)","Bed Linen - Local","RICHING","GBP","0","0","0","0",,"0","0","0","0",,,
"6491","H-THR07504WH","Pillow Sham - Woven Floral (Julia) - White - 50 x 75 cm (SF1818)","Bed Linen - Local","RICHING","GBP","0","0","0","0",,"0","0","0","0",,,
"6492","H-THR08201GRE","Bedspread - Dotty (Darcy) - Grey - 190 x 260 cm (Single) (SF1841A)","Bedspreads","RICHING","GBP","0","0","0","0",,"0","0","0","0",,,
"6493","H-THR08201NAT","Bedspread - Dotty (Darcy) - Natural - 190 x 260 cm (Single) (SF1837A)","Bedspreads","RICHING","GBP","0","0","0","0",,"0","0","0","0",,,
"6494","H-THR08201SKY","Bedspread - Dotty (Darcy) - Sky Blue - 190 x 260 cm (Single) (SF1839A)","Bedspreads","RICHING","GBP","0","0","0","0",,"0","0","0","0",,,
"6495","H-THR08202GRE","Bedspread - Dotty (Darcy) - Grey - 240 x 260 cm (Double) (SF1841B)","Bedspreads","RICHING","GBP","0","0","0","0",,"0","0","0","0",,,
"6496","H-THR08202NAT","Bedspread - Dotty (Darcy) - Natural - 240 x 260 cm (Double) (SF1837B)","Bedspreads","RICHING","GBP","0","0","0","0",,"0","0","0","0",,,
"6497","H-THR08202SKY","Bedspread - Dotty (Darcy) - Sky Blue - 240 x 260 cm (Double) (SF1839B)","Bedspreads","RICHING","GBP","0","0","0","0",,"0","0","0","0",,,
"6498","H-THR08203GRE","Bedspread - Dotty (Darcy) - Grey - 260 x 260 cm (King) (SF1841C)","Bedspreads","RICHING","GBP","0","0","0","0",,"0","0","0","0",,,
"6499","H-THR08203NAT","Bedspread - Dotty (Darcy) - Natural - 260 x 260 cm (King) (SF1837C)","Bedspreads","RICHING","GBP","0","0","0","0",,"0","0","0","0",,,
"6500","H-THR08203SKY","Bedspread - Dotty (Darcy) - Sky Blue - 260 x 260 cm (King) (SF1839C)","Bedspreads","RICHING","GBP","0","0","0","0",,"0","0","0","0",,,
"6501","H-THR08204GRE","Pillow Sham - Dotty (Darcy) - Grey - 50 x 75 cm (SF1842)","Bed Linen - Local","RICHING","GBP","0","0","0","0",,"0","0","0","0",,,
"6502","H-THR08204NAT","Pillow Sham - Dotty (Darcy) - Natural - 50 x 75 cm (SF1838)","Bed Linen - Local","RICHING","GBP","0","0","0","0",,"0","0","0","0",,,
