id,amazon_sku,channel_id,linnworks_code,price_uk,sale_price_uk,price_fr,sale_price_fr,price_de,sale_price_de,price_es,sale_price_es,price_ebay,sale_price_ebay,price_cdiscount,sale_price_cdiscount,prime_date,error
22596,JACCURPPGRY-9054.2,2,JACCURPPGRY-9054,,,199.99,129.99,,,,,,,,,NULL,NULL
22597,JACCURPPGRY-9072.2,2,JACCURPPGRY-9072,,,239.99,149.99,,,,,,,,,NULL,NULL
22598,JACCURPPGRY-9090.2,2,JACCURPPGRY-9090,,,279.99,179.99,,,,,,,,,NULL,NULL
22599,JACCURPPLATT-4554.2,2,JACCURPPLATT-4554,,,99.99,59.99,,,,,,,,,NULL,NULL
22600,JACCURPPLATT-4572.2,2,JACCURPPLATT-4572,,,109.99,74.99,,,,,,,,,NULL,NULL
22601,JACCURPPLATT-4590.2,2,JACCURPPLATT-4590,,,129.99,89.99,,,,,,,,,NULL,NULL
22602,JACCURPPLATT-6554.2,2,JACCURPPLATT-6554,,,129.99,89.99,,,,,,,,,NULL,NULL
22603,JACCURPPLATT-6572.2,2,JACCURPPLATT-6572,,,149.99,99.99,,,,,,,,,NULL,NULL
22604,JACCURPPLATT-6590.2,2,JACCURPPLATT-6590,,,189.99,134.99,,,,,,,,,NULL,NULL
22605,JACCURPPLATT-9054.2,2,JACCURPPLATT-9054,,,199.99,129.99,,,,,,,,,NULL,NULL
22606,JACCURPPLATT-9072.2,2,JACCURPPLATT-9072,,,239.99,149.99,,,,,,,,,NULL,NULL
22607,JACCURPPLATT-9090.2,2,JACCURPPLATT-9090,,,279.99,179.99,,,,,,,,,NULL,NULL
22608,JACCURPPWIN-4554.2,2,JACCURPPWIN-4554,,,99.99,59.99,,,,,,,,,NULL,NULL
22609,JACCURPPWIN-4572.2,2,JACCURPPWIN-4572,,,109.99,74.99,,,,,,,,,NULL,NULL
22610,JACCURPPWIN-4590.2,2,JACCURPPWIN-4590,,,129.99,89.99,,,,,,,,,NULL,NULL
22611,JACCURPPWIN-6554.2,2,JACCURPPWIN-6554,,,129.99,89.99,,,,,,,,,NULL,NULL
22612,JACCURPPWIN-6572.2,2,JACCURPPWIN-6572,,,149.99,99.99,,,,,,,,,NULL,NULL
22613,JACCURPPWIN-6590.2,2,JACCURPPWIN-6590,,,189.99,134.99,,,,,,,,,NULL,NULL
22614,JACCURPPWIN-9054.2,2,JACCURPPWIN-9054,,,199.99,129.99,,,,,,,,,NULL,NULL
22615,JACCURPPWIN-9072.2,2,JACCURPPWIN-9072,,,239.99,149.99,,,,,,,,,NULL,NULL
22616,JACCURPPWIN-9090.2,2,JACCURPPWIN-9090,,,279.99,179.99,,,,,,,,,NULL,NULL
22617,CURVAVEYDAMRED-4554.4,2,CURVAVEYDAMRED-4554,,,69.99,44.99,,,,,,,,,NULL,NULL
22618,CURVAVEYDAMRED-4672.4,2,CURVAVEYDAMRED-4672,,,84.99,59.99,,,,,,,,,NULL,NULL
22619,CURVAVEYDAMRED-4690.4,2,CURVAVEYDAMRED-4690,,,99.99,74.99,,,,,,,,,NULL,NULL
