id,item_number,item_title,barcode_number,category_name,supp_name,supp_id,heights,widths,depths,weights
2056,CURCUPCAKES182,Cup Cakes - Curtain - Pair - 137 x 182 cm (KT1393B),5.05597E+12,Curtains,SOUTHIND,fdc00182-f9d7-4a3d-a41d-e07faeb6f00d,5,30,36,1600
2057,CURCUPCAKES228,Cup Cakes - Curtain - Pair - 137 x 228 cm (KT1393C),5.05597E+12,Curtains,SOUTHIND,fdc00182-f9d7-4a3d-a41d-e07faeb6f00d,7,30,38,2000
2058,CUREDWARD54,Edward Tartan - Curtain - Pair - 46 x 54 (KT1515A),5.05597E+12,Curtains,SOUTHIND,fdc00182-f9d7-4a3d-a41d-e07faeb6f00d,5,30,34,1300
2059,CUREDWARD72,Edward Tartan - Curtain - Pair - 54 x 72 (KT1515B),5.05597E+12,Curtains,SOUTHIND,fdc00182-f9d7-4a3d-a41d-e07faeb6f00d,5,30,36,1600
2060,CUREDWARD90,Edward Tartan - Curtain - Pair- 54 x 90 (KT1515C),5.05597E+12,Curtains,SOUTHIND,fdc00182-f9d7-4a3d-a41d-e07faeb6f00d,7,30,38,2000
2061,CURFEA90200,String Curtain - Feathers - White (SF1333),5.05597E+12,Curtains,THREEANG,a5e92fbe-39a4-4d5d-839a-20e8502dc4ef,13,13,41,600
2062,CURGINGBEI72,Curtain - Gingham Check - Beige - Pair  - 54 x 72 (SF1123B),5.05597E+12,Curtains,SOUTHIND,fdc00182-f9d7-4a3d-a41d-e07faeb6f00d,5,30,36,1600
2063,CURGINGBLU72,Curtain - Gingham Check - Blue - Pair  - 54 x 72 (SF1124B),5.05597E+12,Curtains,SOUTHIND,fdc00182-f9d7-4a3d-a41d-e07faeb6f00d,5,30,36,1600
2064,CURGINGPNK72,Curtain - Gingham Check - Pink - Pair - 54 x 72 (SF1125B),5.05597E+12,Curtains,SOUTHIND,fdc00182-f9d7-4a3d-a41d-e07faeb6f00d,5,30,36,1600
2065,CURGINGYEL72,Curtain - Gingham Check - Yellow - Pair  - 54 x 72 (SF1126B),5.05597E+12,Curtains,SOUTHIND,fdc00182-f9d7-4a3d-a41d-e07faeb6f00d,5,30,36,1600
2066,CURHEARTPNK137,Hearts - Pink - Curtain - Pair - 117 x 137 cm (KT1397A),5.05597E+12,Curtains,SOUTHIND,fdc00182-f9d7-4a3d-a41d-e07faeb6f00d,5,30,34,1300
2067,CURHEARTPNK182,Hearts - Pink - Curtain - Pair - 137 x 182 cm (KT1397B),5.05597E+12,Curtains,SOUTHIND,fdc00182-f9d7-4a3d-a41d-e07faeb6f00d,5,30,36,1600
2068,CURHEARTPNK228,Hearts - Pink - Curtain - Pair - 137 x 228 cm (KT1397C),5.05597E+12,Curtains,SOUTHIND,fdc00182-f9d7-4a3d-a41d-e07faeb6f00d,7,30,38,2000
2069,CURHEARTRED137,Hearts - Red - Curtain - Pair - 117 x 137 cm (KT1396A),5.05597E+12,Curtains,SOUTHIND,fdc00182-f9d7-4a3d-a41d-e07faeb6f00d,5,30,34,1300
2070,CURHEARTRED182,Hearts - Red - Curtain - Pair - 137 x 182 cm (KT1396B),5.05597E+12,Curtains,SOUTHIND,fdc00182-f9d7-4a3d-a41d-e07faeb6f00d,5,30,36,1600
2071,CURHEARTRED228,Hearts - Red - Curtain - Pair - 137 x 228 cm (KT1396C),5.05597E+12,Curtains,SOUTHIND,fdc00182-f9d7-4a3d-a41d-e07faeb6f00d,7,30,38,2000
2072,CURLEONWAVEBEI-4554,Leon Wave (9579) - Curtain Pair - Pencil Pleat - Beige - 46 x 54 Inches (SF1615A),5.05597E+12,Curtains,THREEANG,a5e92fbe-39a4-4d5d-839a-20e8502dc4ef,0,0,0,1625
2073,CURLEONWAVEBEI-4672,Leon Wave (9579) - Curtain Pair - Pencil Pleat - Beige - 46 x 72 Inches (SF1615B),5.05597E+12,Curtains,THREEANG,a5e92fbe-39a4-4d5d-839a-20e8502dc4ef,0,0,0,2037
2074,CURLEONWAVEBEI-4690,Leon Wave (9579) - Curtain Pair - Pencil Pleat - Beige - 46 x 90 Inches (SF1615C),5.05597E+12,Curtains,THREEANG,a5e92fbe-39a4-4d5d-839a-20e8502dc4ef,0,0,0,2425
2075,CURLEONWAVEBEI-6654,Leon Wave (9579) - Curtain Pair - Pencil Pleat - Beige - 66 x 54 Inches (SF1615D),5.05597E+12,Curtains,THREEANG,a5e92fbe-39a4-4d5d-839a-20e8502dc4ef,0,0,0,3000
2076,CURLEONWAVEBEI-6672,Leon Wave (9579) - Curtain Pair - Pencil Pleat - Beige - 66 x 72 Inches (SF1615E),5.05597E+12,Curtains,THREEANG,a5e92fbe-39a4-4d5d-839a-20e8502dc4ef,0,0,0,3312
2077,CURLEONWAVEBEI-6690,Leon Wave (9579) - Curtain Pair - Pencil Pleat - Beige - 66 x 90 Inches (SF1615F),5.05597E+12,Curtains,THREEANG,a5e92fbe-39a4-4d5d-839a-20e8502dc4ef,0,0,0,3650
2078,CURLEONWAVEBEI-9054,Leon Wave (9579) - Curtain Pair - Pencil Pleat - Beige - 90 x 54 Inches (SF1615G),5.05597E+12,Curtains,THREEANG,a5e92fbe-39a4-4d5d-839a-20e8502dc4ef,0,0,0,2972
2079,CURLEONWAVEBEI-9072,Leon Wave (9579) - Curtain Pair - Pencil Pleat - Beige - 90 x 72 Inches (SF1615H),5.05597E+12,Curtains,THREEANG,a5e92fbe-39a4-4d5d-839a-20e8502dc4ef,0,0,0,3650
2080,CURLEONWAVEBEI-9090,Leon Wave (9579) - Curtain Pair - Pencil Pleat - Beige - 90 x 90 Inches (SF1615I),5.05597E+12,Curtains,THREEANG,a5e92fbe-39a4-4d5d-839a-20e8502dc4ef,0,0,0,4362
2081,CURLEONWAVEBEI-TIE,Leon Wave (9579) - Tie Back Pair - Beige (SF1616),5.05597E+12,Curtains,THREEANG,a5e92fbe-39a4-4d5d-839a-20e8502dc4ef,0,0,0,200
2082,CURLEONWAVEGRN-4554,Leon Wave (9579) - Curtain Pair - Pencil Pleat - Green - 46 x 54 Inches (SF1618A),5.05597E+12,Curtains,THREEANG,a5e92fbe-39a4-4d5d-839a-20e8502dc4ef,0,0,0,1625
2083,CURLEONWAVEGRN-4672,Leon Wave (9579) - Curtain Pair - Pencil Pleat - Green - 46 x 72 Inches (SF1618B),5.05597E+12,Curtains,THREEANG,a5e92fbe-39a4-4d5d-839a-20e8502dc4ef,0,0,0,2037
2084,CURLEONWAVEGRN-4690,Leon Wave (9579) - Curtain Pair - Pencil Pleat - Green - 46 x 90 Inches (SF1618C),5.05597E+12,Curtains,THREEANG,a5e92fbe-39a4-4d5d-839a-20e8502dc4ef,0,0,0,2425
2085,CURLEONWAVEGRN-6654,Leon Wave (9579) - Curtain Pair - Pencil Pleat - Green - 66 x 54 Inches (SF1618D),5.05597E+12,Curtains,THREEANG,a5e92fbe-39a4-4d5d-839a-20e8502dc4ef,0,0,0,3000
2086,CURLEONWAVEGRN-6672,Leon Wave (9579) - Curtain Pair - Pencil Pleat - Green - 66 x 72 Inches (SF1618E),5.05597E+12,Curtains,THREEANG,a5e92fbe-39a4-4d5d-839a-20e8502dc4ef,0,0,0,3312
2087,CURLEONWAVEGRN-6690,Leon Wave (9579) - Curtain Pair - Pencil Pleat - Green - 66 x 90 Inches (SF1618F),5.05597E+12,Curtains,THREEANG,a5e92fbe-39a4-4d5d-839a-20e8502dc4ef,0,0,0,3650
2088,CURLEONWAVEGRN-9054,Leon Wave (9579) - Curtain Pair - Pencil Pleat - Green - 90 x 54 Inches (SF1618G),5.05597E+12,Curtains,THREEANG,a5e92fbe-39a4-4d5d-839a-20e8502dc4ef,0,0,0,2972
2089,CURLEONWAVEGRN-9072,Leon Wave (9579) - Curtain Pair - Pencil Pleat - Green - 90 x 72 Inches (SF1618H),5.05597E+12,Curtains,THREEANG,a5e92fbe-39a4-4d5d-839a-20e8502dc4ef,0,0,0,3650
2090,CURLEONWAVEGRN-9090,Leon Wave (9579) - Curtain Pair - Pencil Pleat - Green - 90 x 90 Inches (SF1618I),5.05597E+12,Curtains,THREEANG,a5e92fbe-39a4-4d5d-839a-20e8502dc4ef,0,0,0,4362
2091,CURLEONWAVEGRN-TIE,Leon Wave (9579) - Tie Back Pair - Green (SF1619),5.05597E+12,Curtains,THREEANG,a5e92fbe-39a4-4d5d-839a-20e8502dc4ef,0,0,0,200
2092,CURLEONWAVELGRY-4554,Leon Wave (9579) - Curtain Pair - Pencil Pleat - Light Grey - 46 x 54 Inches (SF1612A),5.05597E+12,Curtains,THREEANG,a5e92fbe-39a4-4d5d-839a-20e8502dc4ef,0,0,0,1625
2093,CURLEONWAVELGRY-4672,Leon Wave (9579) - Curtain Pair - Pencil Pleat - Light Grey - 46 x 72 Inches (SF1612B),5.05597E+12,Curtains,THREEANG,a5e92fbe-39a4-4d5d-839a-20e8502dc4ef,0,0,0,2037
2094,CURLEONWAVELGRY-4690,Leon Wave (9579) - Curtain Pair - Pencil Pleat - Light Grey - 46 x 90 Inches (SF1612C),5.05597E+12,Curtains,THREEANG,a5e92fbe-39a4-4d5d-839a-20e8502dc4ef,0,0,0,2425
2095,CURLEONWAVELGRY-6654,Leon Wave (9579) - Curtain Pair - Pencil Pleat - Light Grey - 66 x 54 Inches (SF1612D),5.05597E+12,Curtains,THREEANG,a5e92fbe-39a4-4d5d-839a-20e8502dc4ef,0,0,0,3000
2096,CURLEONWAVELGRY-6672,Leon Wave (9579) - Curtain Pair - Pencil Pleat - Light Grey - 66 x 72 Inches (SF1612E),5.05597E+12,Curtains,THREEANG,a5e92fbe-39a4-4d5d-839a-20e8502dc4ef,0,0,0,3312
2097,CURLEONWAVELGRY-6690,Leon Wave (9579) - Curtain Pair - Pencil Pleat - Light Grey - 66 x 90 Inches (SF1612F),5.05597E+12,Curtains,THREEANG,a5e92fbe-39a4-4d5d-839a-20e8502dc4ef,0,0,0,3650
