"id","web_sku","linnworks_code","web_price_uk","web_sale_price_uk","web_price_fr","web_sale_price_fr","web_price_de","web_sale_price_de","web_price_dm","web_sale_price_dm","web_price_tesco","web_sale_price_tesco"
"9056","BL1389A","H-DVT39602GOL","35.99","35.99","46.99","46.99","46.99","46.99","40.90","40.90",,"40.90"
"9057","BL1389B","H-DVT39603GOL","44.99","44.99","48.99","48.99","48.99","48.99","49.90","49.90",,"49.90"
"9058","BL1389C","H-DVT39604GOL","48.99","48.99","64.99","64.99","64.99","64.99","53.90","53.90",,"53.90"
"9059","BL1390A","H-DVT39602GRY","35.99","35.99","46.99","46.99","46.99","46.99","40.90","40.90",,"40.90"
"9060","BL1390B","H-DVT39603GRY","44.99","44.99","48.99","48.99","48.99","48.99","49.90","49.90",,"49.90"
"9061","BL1390C","H-DVT39604GRY","48.99","48.99","64.99","64.99","64.99","64.99","53.90","53.90",,"53.90"
"9062","BL1391A","H-DVT40401NAV","24.99","24.99","32.99","32.99","32.99","32.99","29.90","29.90",,"29.90"
"9063","BL1391B","H-DVT40402NAV","39.99","39.99","52.99","52.99","52.99","52.99","44.90","44.90",,"44.90"
"9064","BL1391C","H-DVT40403NAV","42.99","42.99","56.99","56.99","56.99","56.99","47.90","47.90",,"47.90"
"9065","BL1391D","H-DVT40404NAV","44.99","44.99","59.99","59.99","59.99","59.99","49.90","49.90",,"49.90"
"9066","BL1392A","H-DVT40401RED","24.99","24.99","32.99","32.99","32.99","32.99","29.90","29.90",,"29.90"
"9067","BL1392B","H-DVT40402RED","39.99","39.99","52.99","52.99","52.99","52.99","44.90","44.90",,"44.90"
"9068","BL1392C","H-DVT40403RED","42.99","42.99","56.99","56.99","56.99","56.99","47.90","47.90",,"47.90"
"9069","BL1392D","H-DVT40404RED","44.99","44.99","59.99","59.99","59.99","59.99","49.90","49.90",,"49.90"
"9070","BL1382A","H-DVT37301","24.99","24.99","32.99","32.99","32.99","32.99","29.90","29.90",,"29.90"
"9071","BL1382B","H-DVT37302","39.99","39.99","52.99","52.99","52.99","52.99","44.90","44.90",,"44.90"
"9072","BL1382C","H-DVT37303","42.99","42.99","56.99","56.99","56.99","56.99","47.90","47.90",,"47.90"
"9073","BL1382D","H-DVT37304","44.99","44.99","59.99","59.99","59.99","59.99","49.90","49.90",,"49.90"
"9074","BL1393A","H-DVT40601GRE","19.99","19.99","26.99","26.99","26.99","26.99","24.90","24.90",,"24.90"
"9075","BL1393B","H-DVT40602GRE","29.99","29.99","38.99","38.99","38.99","38.99","34.90","34.90",,"34.90"
"9076","BL1393C","H-DVT40603GRE","34.99","34.99","45.99","45.99","45.99","45.99","39.90","39.90",,"39.90"
"9077","BL1393D","H-DVT40604GRE","39.99","39.99","52.99","52.99","52.99","52.99","44.90","44.90",,"44.90"
"9078","BL1394A","H-DVT40601GRY","19.99","19.99","26.99","26.99","26.99","26.99","24.90","24.90",,"24.90"
"9079","BL1394B","H-DVT40602GRY","29.99","29.99","38.99","38.99","38.99","38.99","34.90","34.90",,"34.90"
"9080","BL1394C","H-DVT40603GRY","34.99","34.99","45.99","45.99","45.99","45.99","39.90","39.90",,"39.90"
"9081","BL1394D","H-DVT40604GRY","39.99","39.99","52.99","52.99","52.99","52.99","44.90","44.90",,"44.90"
"9082","BL1395A","H-DVT40701BLU","21.99","21.99","28.99","28.99","28.99","28.99","26.90","26.90",,"26.90"
"9083","BL1395B","H-DVT40702BLU","29.99","29.99","39.99","39.99","39.99","39.99","34.90","34.90",,"34.90"
"9084","BL1395C","H-DVT40703BLU","36.99","36.99","47.99","47.99","47.99","47.99","41.90","41.90",,"41.90"
"9085","BL1395D","H-DVT40704BLU","39.99","39.99","52.99","52.99","52.99","52.99","44.90","44.90",,"44.90"
"9086","BL1396A","H-DVT40701GRA","21.99","21.99","28.99","28.99","28.99","28.99","26.90","26.90",,"26.90"
